kobo_name,db_name,action
,id,keep
start,start_time,keep
end,end_time,keep
username,enumerator_name,keep
phonenumber,enumerator_phone_number,keep
Q1. Household head agrees to be interviewed,household_head_consent,keep
Date of Consent,date_of_consent,keep
Was there a witness present?,witness,keep
witness_name_proper,witness_name,keep
Start time,start_timme,keep
state_name,state,keep
Confirm your LGA,lga,keep
Confirm your ward,ward,keep
Confirm your community,community,keep
,household_no_category,keep
name_parent_proper,household_consent_name,keep
Choose the settlement type,settlement_type,keep
Q8. Language of communication,language_communication,keep
Kindly input your language of communication not on the list above,other_language_communication,keep
_Q9. GPS coordinates (capture from device)_latitude,latitude,keep
_Q9. GPS coordinates (capture from device)_longitude,longitude,keep
Q10. Cycle,cycle,keep
Q6. Household number,household_number,keep
unique_code,household_code,keep
,household_status,keep
Q1. Are you the head of the household?,head_household,keep
household_headname_proper,household_name,keep
Q3. Gender of the head of the household?,gender_head_household,keep
Q4. Age as at last birthday of head of the Household,household_age,keep
name_questionnaire_proper,related_to_head_household_name,keep
Q6. Does ${name_questionnaire} usually live here?,related_to_head_household_live,keep
Q7. Did ${name_questionnaire} stay here last night?,related_to_head_household_stay,keep
Q8. Age as at last birthday of ${name_questionnaire}?,related_to_head_household_age,keep
Q9. Gender of person answering the household questionnaire,related_to_head_household_gender,keep
Q10. What is the relationship with the head of the household?,related_to_head_household,keep
Kindly specify your relationship to the household head,related_to_head_household_others,keep
"Q11. Have you had any form of education?
Kin taba shiga makaranta?",education,keep
"Q12. Was it Quranic or Western?
Makarantar Islamiyya ko boko?/Quranic Education",education_type_quranic,keep
"Q12. Was it Quranic or Western?
Makarantar Islamiyya ko boko?/Western Education",education_type_western,keep
"Q13. What is the highest level of school you attended: primary, secondary, or higher?
Menene zurfin ilimin ki?	
Makarantar firamare, ko sakandare, ko fiye da haka?",school_level,keep
"Q14. What is the highest class you completed at that level? If completed less than one year at that level, record '00'.
A wanne aji kika kammala samun wannan ilmi?",school_level_primary,keep
"Q14. What is the highest class you completed at that level? If completed less than one year at that level, record '00'.
A wanne aji kika kammala samun wannan ilmi?.1",school_level_secondary,keep
,school_level_tertiary,keep
"Q16. Do you own a mobile phone?
Ki na  da wayar hannu?",own_mobile_phone,keep
"Q17. Is your mobile phone a smart phone?
Wayar ki babbar waya ce?",smart_mobile_phone,keep
Q18. Does your household have a television?,television,keep
Q19. Does your household have an electric iron?,electric_iron,keep
Q20. Does your household have a fan?,fan,keep
